lambda,epoch,val_acc,val_ce,train_ce,train_embed_loss,embed_frac,test_acc,test_ce,step,seed
4.0,2.35,0.670584778136938,1.4779152815705567,0.6869415375590324,0.0578062995243817,0.2518,,,2000.0,123
4.0,2.58,0.6764619453423449,1.4412252997567363,0.7134569413214922,0.0596426018048077,0.2506,,,2200.0,123
4.0,2.82,0.669703203056127,1.461383124712177,0.6965457389503718,0.0573558109439909,0.2478,,,2400.0,123
4.0,3.05,0.6776373787834263,1.4800820672928918,0.6598318885639309,0.0547645387984812,0.2492,,,2600.0,123
4.0,3.29,0.6702909197766677,1.503608172303468,0.4336054738610982,0.0358582768589258,0.2486,,,2800.0,123
4.0,3.52,0.670584778136938,1.5013558766332542,0.465454325787723,0.0384750248957425,0.2485,,,3000.0,123
4.0,3.76,0.6641198942109903,1.5299956789270346,0.4669569873809814,0.0394868765771389,0.2528,,,3200.0,123
4.0,3.99,0.6676461945342345,1.5178666122163564,0.4899389113485813,0.0406675666011869,0.2493,,,3400.0,123
4.0,4.23,0.6729356450191007,1.56718886408286,0.2846725705778226,0.0234004548285156,0.2474,,,3600.0,123
4.0,4.46,0.6679400528945049,1.5954457495691077,0.2928052039071918,0.0245229354128241,0.2509,,,3800.0,123
4.0,final,0.6776373787834263,,,,,0.6644137525712607,1.5438974762607454,2600.0,123
2.0,0.23,0.6414928004701734,1.5493772640986334,1.8757149586081503,0.1488305125385522,0.137,,,200.0,123
2.0,0.47,0.6420805171907141,1.496202186104693,1.5897234705090524,0.1270902017876506,0.1378,,,400.0,123
2.0,0.7,0.6611813106082868,1.4126845995643509,1.5711706346273422,0.1272763771377504,0.1394,,,600.0,123
2.0,0.94,0.6600058771672054,1.4039527048022125,1.5308460161089896,0.1251707754656672,0.1405,,,800.0,123
2.0,1.17,0.664707610931531,1.4178494906866863,1.112073908856546,0.09300188254565,0.1433,,,1000.0,123
2.0,1.41,0.6632383191301793,1.4197179966732365,0.9992829663306476,0.083609774550423,0.1434,,,1200.0,123
2.0,1.64,0.6655891860123421,1.4198058400299842,1.008005179911852,0.08499073125422,0.1443,,,1400.0,123
2.0,1.88,0.6673523361739642,1.4192419799678018,1.0498157919943332,0.0871560440957546,0.1424,,,1600.0,123
2.0,2.11,0.6635321774904496,1.4850048076360325,0.8542790251225233,0.0713121673185378,0.1431,,,1800.0,123
2.0,2.35,0.6670584778136938,1.4651260767444036,0.6595779299736023,0.0547258871141821,0.1423,,,2000.0,123
2.0,2.58,0.6632383191301793,1.4848381954012917,0.6630546501651406,0.0565166316926479,0.1456,,,2200.0,123
2.0,2.82,0.6673523361739642,1.4744045712336211,0.6989413273334503,0.0592407413665205,0.1449,,,2400.0,123
2.0,3.05,0.664707610931531,1.537408495769058,0.6016455272957683,0.0511902117077261,0.1454,,,2600.0,123
2.0,3.29,0.6694093446958566,1.542760656575683,0.40479591563344,0.0353013695497065,0.1485,,,2800.0,123
2.0,3.52,0.6729356450191007,1.5229227347231038,0.4581124873459339,0.0383410678897053,0.1434,,,3000.0,123
2.0,3.76,0.6729356450191007,1.561262606978942,0.4095825289189815,0.0348795458488166,0.1455,,,3200.0,123
2.0,3.99,0.6741110784601821,1.5272744221264147,0.4299249884113669,0.0368418211024254,0.1463,,,3400.0,123
2.0,4.23,0.6708786364972084,1.6041991588405886,0.2483638237370178,0.0217303304933011,0.1489,,,3600.0,123
