anchor_token,spearman_r,p_value,n_pairs
 copy,-0.1613482160805776,7.81434739441458e-05,594
 double,-0.16117654182551494,0.0003176639921117699,495
 out,-0.16089378467296078,4.8290224697845004e-51,8613
ö,-0.1608064951293524,0.005474479373973916,297
 mind,-0.16078496278730645,5.4322928358708126e-06,792
 girl,-0.16070651294872138,0.005504030267143922,297
 taken,-0.16045741425597373,2.1964198053002494e-05,693
ines,-0.16007786074996141,0.005693139832723785,297
 close,-0.1597719972956766,0.0014232839206041552,396
 Fl,-0.15921912813590525,0.00596088054912033,297
 bowl,-0.1590790226993793,0.006005618856089033,297
 Society,-0.15898461543874562,0.006035934370722587,297
 British,-0.15878845608394726,0.00609936287789426,297
ve,-0.1584678490504119,2.2669053401329505e-10,1584
IV,-0.15832502129436501,0.006251593983249366,297
 is,-0.15821005787541947,0.0,94446
 popular,-0.15814653731685707,0.0015939171763312467,396
 shirt,-0.15810348241428554,0.006325561160169953,297
 International,-0.15764403802396798,0.00011423658747765116,594
 solution,-0.15746918750720298,0.001670406397508004,396
**,-0.15744123326381074,0.006551367194173147,297
 explain,-0.15721452541768616,0.0017000236819998543,396
 prescription,-0.15689628243178508,0.0017377116221488564,396
 courses,-0.15651052124814738,3.5002075747236786e-05,693
 comfort,-0.15638818001053345,0.006925301174473759,297
ig,-0.1561101344869323,0.0018341146511305375,396
 received,-0.15490638381991292,0.0074837774425975355,297
M,-0.15458560129364332,1.8245522520349347e-10,1683
inating,-0.154491448328657,0.007647201618002771,297
 atmosphere,-0.1543651549190873,0.0020658260301980947,396
 Management,-0.1543502611762946,0.002067914020271727,396
 contact,-0.15419704042967425,1.089465705303627e-06,990
 moment,-0.15401573653054543,0.0001643703655401911,594
000,-0.15398056150133166,5.307213284644063e-24,4257
 statement,-0.15391420078737628,4.7270367432093804e-05,693
 worth,-0.15361405745169457,0.0006048454869684084,495
 how,-0.1533049776781007,1.2366337076804019e-18,3267
 est,-0.15310322799221399,0.0006310828934313238,495
 said,-0.15306912582104767,1.3378905502427756e-37,6930
 Minister,-0.15298289720583513,0.0006374150961265532,495
 form,-0.15290632404272067,1.0584289661807695e-08,1386
ict,-0.15238877749319857,0.0023603672286723323,396
 include,-0.15231531759339367,0.00019439594185090023,594
 its,-0.15230942440761375,6.076715365751477e-20,3564
 flowers,-0.1520363392100297,0.008680909021693797,297
